"Date","ST","ET","use[kW]","gen [kW]","House overall [kW]","Dishwasher [kW]","Furnace 1 [kW]","Furnace 2 [kW]","Home office [kW]","Fridge [kW]","Wine cellar [kW]","Garage door [kW]","Kitchen 12 [kW]","Kitchen 14 [kW]","Kitchen 38 [kW]","Barn [kW]","Well [kW]","Microwave [kW]","Living room [kW]","Solar [kW]"
"2/2/2017","6:00","7:00","0.932833333","0.003483333","0.932833333","3.33E-5","0.0207","0.061916667","0.442633333","0.12415","0.006983333","0.013083333","0.000416667","0.00015","0","0.03135","0.001016667","0.004066667","0.001516667","0.003483333"
"2/2/2017","7:00","8:00","0.934333333","0.003466667","0.934333333","0","0.020716667","0.063816667","0.444066667","0.124","0.006983333","0.013116667","0.000416667","0.00015","0","0.0315","0.001016667","0.004066667","0.00165","0.003466667"
"2/2/2017","8:00","9:00","0.931816667","0.003466667","0.931816667","1.67E-5","0.0207","0.062316667","0.446066667","0.123533333","0.006983333","0.013083333","0.000433333","0.000166667","1.67E-5","0.031516667","0.001","0.004066667","0.00165","0.003466667"
"2/2/2017","9:00","10:00","1.02205","0.003483333","1.02205","1.67E-5","0.1069","0.068516667","0.446583333","0.123133333","0.006983333","0.013","0.000433333","0.000216667","0","0.0315","0.001016667","0.004066667","0.001616667","0.003483333"
"2/2/2017","10:00","11:00","1.1394","0.003466667","1.1394","0.000133333","0.236933333","0.063983333","0.446533333","0.12285","0.00685","0.012783333","0.00045","0.000333333","0","0.0315","0.001016667","0.004066667","0.001583333","0.003466667"
"2/2/2017","11:00","12:00","1.391866667","0.003433333","1.391866667","0.000283333","0.50325","0.063666667","0.447033333","0.1223","0.006716667","0.012433333","0.000483333","0.000566667","0","0.03145","0.001016667","0.004066667","0.001583333","0.003433333"
"2/2/2017","12:00","13:00","1.366216667","0.00345","1.366216667","0.000283333","0.4994","0.063716667","0.443266667","0.12205","0.006733333","0.012416667","0.000516667","0.00055","0","0.03155","0.001033333","0.004116667","0.001533333","0.00345"
"2/2/2017","13:00","14:00","1.4319","0.003416667","1.4319","0.00025","0.477866667","0.178633333","0.444283333","0.1218","0.006783333","0.01255","0.000483333","0.00045","0","0.031733333","0.001033333","0.0042","0.00155","0.003416667"
"2/2/2017","14:00","15:00","1.6273","0.003416667","1.6273","0.000183333","0.44765","0.3657","0.441466667","0.121616667","0.00695","0.012716667","0.000466667","0.0003","1.67E-5","0.031766667","0.001016667","0.0042","0.001566667","0.003416667"
"2/2/2017","15:00","16:00","1.735383333","0.003416667","1.735383333","1.67E-5","0.17155","0.6825","0.438733333","0.121633333","0.007233333","0.01335","0.000366667","5.00E-5","0","0.031666667","0.001016667","0.0042","0.001616667","0.003416667"
"2/2/2017","16:00","17:00","1.585083333","0.003416667","1.585083333","5.00E-5","0.0221","0.678733333","0.4402","0.12145","0.007433333","0.013583333","0.00035","0.000116667","3.33E-5","0.031666667","0.001","0.0042","0.001566667","0.003416667"
"2/2/2017","17:00","18:00","1.510316667","0.003433333","1.510316667","3.33E-5","0.021966667","0.620666667","0.43695","0.12125","0.007316667","0.013533333","0.000333333","0.0001","0","0.03175","0.001","0.0042","0.001566667","0.003433333"
"2/2/2017","18:00","19:00","1.459866667","0.00345","1.459866667","5.00E-5","0.021883333","0.577466667","0.43995","0.121033333","0.007233333","0.013516667","0.000366667","8.33E-5","1.67E-5","0.031783333","0.001","0.004216667","0.001583333","0.00345"
"2/2/2017","19:00","20:00","0.840583333","0.003433333","0.840583333","0","0.02095","0.1448","0.444783333","0.035016667","0.007033333","0.013183333","0.00065","0.000183333","1.67E-5","0.031783333","0.001016667","0.004216667","0.001616667","0.003433333"
"2/2/2017","20:00","21:00","0.7032","0.003433333","0.7032","1.67E-5","0.020733333","0.061966667","0.443833333","0.004783333","0.006966667","0.013116667","0.000733333","0.000233333","0","0.03175","0.001016667","0.004233333","0.00155","0.003433333"
"2/2/2017","21:00","22:00","0.571883333","0.00345","0.571883333","0","0.02065","0.06365","0.307783333","0.004916667","0.00705","0.0131","0.000733333","0.00015","0","0.031733333","0.001","0.004216667","0.001583333","0.00345"
"2/2/2017","22:00","23:00","0.485733333","0.00345","0.485733333","1.67E-5","0.020616667","0.063433333","0.22045","0.004983333","0.007033333","0.013116667","0.00075","8.33E-5","0","0.031833333","0.001","0.004233333","0.001616667","0.00345"
"2/2/2017","23:00","0:00","0.523166667","0.003433333","0.523166667","0","0.020633333","0.062116667","0.26005","0.00495","0.007","0.013083333","0.000733333","0.0001","1.67E-5","0.03185","0.001016667","0.00425","0.001716667","0.003433333"
"2/2/2017","0:00","1:00","0.5362","0.00345","0.5362","0","0.020683333","0.062916667","0.272066667","0.00495","0.007033333","0.01315","0.000733333","0.000116667","0","0.031866667","0.001016667","0.004233333","0.00165","0.00345"
"2/2/2017","1:00","2:00","0.53415","0.00345","0.53415","1.67E-5","0.020666667","0.06265","0.270066667","0.00495","0.0071","0.01315","0.000733333","0.0001","0","0.0319","0.001","0.004233333","0.00175","0.00345"
"2/2/2017","2:00","3:00","0.533816667","0.00345","0.533816667","0","0.020633333","0.062966667","0.270033333","0.00495","0.007033333","0.013116667","0.00075","0.0001","0","0.031816667","0.001016667","0.004233333","0.001566667","0.00345"
"2/2/2017","3:00","4:00","0.523633333","0.00345","0.523633333","1.67E-5","0.02055","0.063283333","0.259816667","0.00495","0.007033333","0.013083333","0.000733333","0.000116667","0","0.031733333","0.001016667","0.004216667","0.001666667","0.00345"
"2/2/2017","4:00","5:00","0.57725","0.003416667","0.57725","0","0.020683333","0.10975","0.257","0.004983333","0.007066667","0.013133333","0.000733333","8.33E-5","0","0.031683333","0.001016667","0.004233333","0.001516667","0.003416667"
"2/2/2017","5:00","6:00","0.679566667","0.003433333","0.679566667","1.67E-5","0.020866667","0.194083333","0.2571","0.005016667","0.007116667","0.0132","0.0007","6.67E-5","1.67E-5","0.031716667","0.001016667","0.004216667","0.00165","0.003433333"
"2/2/2017","6:00","7:00","1.293166667","0.0034","1.293166667","1.67E-5","0.107433333","0.622466667","0.2541","0.0052","0.00725","0.01335","0.00065","0.0001","3.33E-5","0.031566667","0.001","0.0042","0.001566667","0.0034"
"2/2/2017","7:00","8:00","1.546666667","0.003433333","1.546666667","1.67E-5","0.220566667","0.68005","0.253933333","0.00555","0.007266667","0.013183333","0.0007","6.67E-5","1.67E-5","0.031066667","0.001","0.004166667","0.00165","0.003433333"
